treated,trump_approval,video_id,vote_pres_2020,vote_pres_2024,partisanship,democratic_party_fav,republican_party_fav,trump_fav,biden_fav,text
0,0,,other_did_not_vote,other_did_not_vote,Independent,Very favorable,Somewhat favorable,Very Unfavorable,Somewhat Unfavorable,
0,1,,Republican Donald Trump,Republican Donald Trump,Republican,Very unfavorable,Very favorable,Very Favorable,Very Unfavorable,
0,0,,other_did_not_vote,other_did_not_vote,Independent,Somewhat unfavorable,Very unfavorable,Not sure/Never Heard of,Somewhat Unfavorable,
0,0,,other_did_not_vote,other_did_not_vote,Democrat,Somewhat favorable,Very unfavorable,Very Unfavorable,Somewhat Favorable,
0,0,,Democrat Joe Biden,Democrat Kamala Harris,Democrat,Somewhat favorable,Very unfavorable,Very Unfavorable,Somewhat Favorable,
0,0,,Democrat Joe Biden,Democrat Kamala Harris,Democrat,Somewhat favorable,Very unfavorable,Very Unfavorable,Somewhat Favorable,
0,0,,Democrat Joe Biden,Democrat Kamala Harris,Democrat,Somewhat favorable,Very unfavorable,Very Unfavorable,Very Favorable,
0,1,,Republican Donald Trump,Republican Donald Trump,Republican,Somewhat unfavorable,Somewhat favorable,Somewhat Favorable,Very Unfavorable,
0,0,,Democrat Joe Biden,Democrat Kamala Harris,Democrat,Somewhat favorable,Very unfavorable,Very Unfavorable,Very Favorable,
0,1,,Republican Donald Trump,Republican Donald Trump,Independent,Very unfavorable,Somewhat unfavorable,Somewhat Favorable,Very Unfavorable,
0,0,,Democrat Joe Biden,Democrat Kamala Harris,Democrat,Somewhat favorable,Very unfavorable,Very Unfavorable,Somewhat Favorable,
0,1,,Democrat Joe Biden,Republican Donald Trump,Democrat,Somewhat unfavorable,Somewhat favorable,Somewhat Favorable,Somewhat Unfavorable,
0,0,,Democrat Joe Biden,Democrat Kamala Harris,Democrat,Very favorable,Very unfavorable,Very Unfavorable,Somewhat Favorable,
0,0,,Democrat Joe Biden,Democrat Kamala Harris,Independent,Somewhat unfavorable,Very unfavorable,Very Unfavorable,Somewhat Favorable,
0,0,,Democrat Joe Biden,Democrat Kamala Harris,Independent,Somewhat unfavorable,Very unfavorable,Very Unfavorable,Very Favorable,
0,1,,Republican Donald Trump,Republican Donald Trump,Republican,Very unfavorable,Very favorable,Very Favorable,Very Unfavorable,
0,0,,Democrat Joe Biden,Democrat Kamala Harris,Democrat,Somewhat favorable,Somewhat unfavorable,Somewhat Unfavorable,Somewhat Favorable,
0,1,,Republican Donald Trump,other_did_not_vote,Republican,Very unfavorable,Very favorable,Very Favorable,Very Unfavorable,
0,1,,other_did_not_vote,Republican Donald Trump,Independent,Somewhat unfavorable,Somewhat favorable,Somewhat Favorable,Somewhat Unfavorable,
0,0,,Democrat Joe Biden,Democrat Kamala Harris,Democrat,Very favorable,Very unfavorable,Very Unfavorable,Very Favorable,
0,0,,other_did_not_vote,other_did_not_vote,Democrat,Somewhat favorable,Very unfavorable,Very Unfavorable,Somewhat Favorable,
0,0,,Democrat Joe Biden,Democrat Kamala Harris,Democrat,Very favorable,Very unfavorable,Very Unfavorable,Very Favorable,
