video_id_raw,video_id_norm,has_shrunk_effect
9,9,True
1,1,True
2,2,True
3,3,True
31,31,True
4,4,True
35,35,True
5,5,True
6,6,True
40,40,True
7,7,True
8,8,True
10,10,True
43,43,True
11,11,True
47,47,True
12,12,True
13,13,True
14,14,True
15,15,True
58,58,True
16,16,True
17,17,True
18,18,True
19,19,True
71,71,True
20,20,True
21,21,True
22,22,True
23,23,True
24,24,True
25,25,True
75,75,True
26,26,True
27,27,True
28,28,True
29,29,True
30,30,True
32,32,True
33,33,True
81,81,True
82,82,True
34,34,True
83,83,True
36,36,True
37,37,True
38,38,True
39,39,True
90,90,True
41,41,True
42,42,True
44,44,True
45,45,True
46,46,True
95,95,True
96,96,True
48,48,True
49,49,True
50,50,True
51,51,True
52,52,True
53,53,True
54,54,True
55,55,True
56,56,True
57,57,True
104,104,True
59,59,True
60,60,True
61,61,True
62,62,True
63,63,True
64,64,True
65,65,True
66,66,True
67,67,True
68,68,True
69,69,True
114,114,True
70,70,True
115,115,True
72,72,True
73,73,True
74,74,True
119,119,True
76,76,True
77,77,True
78,78,True
79,79,True
120,120,True
80,80,True
84,84,True
85,85,True
86,86,True
87,87,True
88,88,True
89,89,True
91,91,True
92,92,True
93,93,True
94,94,True
97,97,True
98,98,True
99,99,True
100,100,True
101,101,True
102,102,True
103,103,True
105,105,True
106,106,True
107,107,True
108,108,True
109,109,True
110,110,True
111,111,True
112,112,True
113,113,True
116,116,True
117,117,True
118,118,True
121,121,True
122,122,True
123,123,True
124,124,True
125,125,True
126,126,True
127,127,True
